表格 1
Vgs,Vds     ,,,,,,
-15,4.10E-13,,,,,,
-14.8,2.88E-13,,,,,,
-14.6,2.75E-13,,,,,,
-14.4,3.14E-13,,,,,,
-14.2,1.85E-13,,,,,,
-14,2.64E-13,,,,,,
-13.8,2.87E-13,,,,,,
-13.6,2.71E-13,,,,,,
-13.4,2.10E-13,,,,,,
-13.2,2.70E-13,,,,,,
-13,2.84E-13,,,,,,
-12.8,2.60E-13,,,,,,
-12.6,2.71E-13,,,,,,
-12.4,2.19E-13,,,,,,
-12.2,1.85E-13,,,,,,
-12,2.55E-13,,,,,,
-11.8,1.74E-13,,,,,,
-11.6,2.10E-13,,,,,,
-11.4,2.34E-13,,,,,,
-11.2,2.44E-13,,,,,,
-11,2.07E-13,,,,,,
-10.8,1.55E-13,,,,,,
-10.6,1.53E-13,,,,,,
-10.4,2.14E-13,,,,,,
-10.2,1.57E-13,,,,,,
-10,2.24E-13,,,,,,
-9.8,2.33E-13,,,,,,
-9.6,1.57E-13,,,,,,
-9.4,1.51E-13,,,,,,
-9.2,1.50E-13,,,,,,
-9,2.01E-13,,,,,,
-8.8,1.86E-13,,,,,,
-8.6,7.06E-14,,,,,,
-8.4,1.26E-13,,,,,,
-8.2,2.57E-13,,,,,,
-8,1.82E-13,,,,,,
-7.8,1.52E-13,,,,,,
-7.6,1.42E-13,,,,,,
-7.4,2.34E-13,,,,,,
-7.2,1.68E-13,,,,,,
-7,2.40E-13,,,,,,
-6.8,2.46E-13,,,,,,
-6.6,1.56E-13,,,,,,
-6.4,1.36E-13,,,,,,
-6.2,1.33E-13,,,,,,
-6,1.62E-13,,,,,,
-5.8,1.90E-13,,,,,,
-5.6,2.50E-13,,,,,,
-5.4,1.98E-13,,,,,,
-5.2,8.18E-14,,,,,,
-5,2.14E-13,,,,,,
-4.8,1.94E-13,,,,,,
-4.6,1.96E-13,,,,,,
-4.4,1.36E-13,,,,,,
-4.2,2.42E-13,,,,,,
-4,1.20E-13,,,,,,
-3.8,1.82E-13,,,,,,
-3.6,1.80E-13,,,,,,
-3.4,1.56E-13,,,,,,
-3.2,1.15E-13,,,,,,
-3,1.97E-13,,,,,,
-2.8,1.51E-13,,,,,,
-2.6,1.76E-13,,,,,,
-2.4,1.43E-13,,,,,,
-2.2,2.17E-13,,,,,,
-2,2.07E-13,,,,,,
-1.8,1.55E-13,,,,,,
-1.6,1.56E-13,,,,,,
-1.4,1.75E-13,,,,,,
-1.2,1.47E-13,,,,,,
-1,1.56E-13,,,,,,
-0.8,1.64E-13,,,,,,
-0.6,2.13E-13,,,,,,
-0.4,1.67E-13,,,,,,
-0.2,2.90E-13,,,,,,
0,5.69E-11,,,,,,
0.2,2.22E-09,,,,,,
0.4,1.15E-08,,,,,,
0.6,2.85E-08,,,,,,
0.8,5.37E-08,,,,,,
1,8.76E-08,,,,,,
1.2,1.30E-07,,,,,,
1.4,1.82E-07,,,,,,
1.6,2.42E-07,,,,,,
1.8,3.12E-07,,,,,,
2,3.91E-07,,,,,,
2.2,4.79E-07,,,,,,
2.4,5.76E-07,,,,,,
2.6,6.83E-07,,,,,,
2.8,7.99E-07,,,,,,
3,9.24E-07,,,,,,
3.2,1.06E-06,,,,,,
3.4,1.20E-06,,,,,,
3.6,1.35E-06,,,,,,
3.8,1.51E-06,,,,,,
4,1.68E-06,,,,,,
4.2,1.85E-06,,,,,,
4.4,2.03E-06,,,,,,
4.6,2.22E-06,,,,,,
4.8,2.41E-06,,,,,,
5,2.61E-06,,,,,,
5.2,2.81E-06,,,,,,
5.4,3.02E-06,,,,,,
5.6,3.22E-06,,,,,,
5.8,3.44E-06,,,,,,
6,3.65E-06,,,,,,
6.2,3.87E-06,,,,,,
6.4,4.09E-06,,,,,,
6.6,4.31E-06,,,,,,
6.8,4.54E-06,,,,,,
7,4.77E-06,,,,,,
7.2,5.00E-06,,,,,,
7.4,5.23E-06,,,,,,
7.6,5.46E-06,,,,,,
7.8,5.69E-06,,,,,,
8,5.93E-06,,,,,,
8.2,6.16E-06,,,,,,
8.4,6.40E-06,,,,,,
8.6,6.64E-06,,,,,,
8.8,6.88E-06,,,,,,
9,7.12E-06,,,,,,
9.2,7.36E-06,,,,,,
9.4,7.60E-06,,,,,,
9.6,7.84E-06,,,,,,
9.8,8.09E-06,,,,,,
10,8.33E-06,,,,,,
10.2,8.58E-06,,,,,,
10.4,8.82E-06,,,,,,
10.6,9.07E-06,,,,,,
10.8,9.32E-06,,,,,,
11,9.56E-06,,,,,,
11.2,9.81E-06,,,,,,
11.4,1.01E-05,,,,,,
11.6,1.03E-05,,,,,,
11.8,1.06E-05,,,,,,
12,1.08E-05,,,,,,
12.2,1.11E-05,,,,,,
12.4,1.13E-05,,,,,,
12.6,1.16E-05,,,,,,
12.8,1.18E-05,,,,,,
13,1.21E-05,,,,,,
13.2,1.23E-05,,,,,,
13.4,1.26E-05,,,,,,
13.6,1.28E-05,,,,,,
13.8,1.31E-05,,,,,,
14,1.33E-05,,,,,,
14.2,1.36E-05,,,,,,
14.4,1.38E-05,,,,,,
14.6,1.41E-05,,,,,,
14.8,1.43E-05,,,,,,
15,1.46E-05,,,,,,
